frame_id,captured_at,source_width,status,shift_feature_px,applied_shift_px,score,margin,band_disagreement_px,inlier_tile_count,confidence,crop_path,error
2025_0807_120000,2025-08-07T12:00:00,8246,accepted,40,644,0.6845911701553246,0.11227619923812826,2,8,0.7850825332123701,adjusted-crops/2025_0807_120000.jpg,
2025_0817_120000,2025-08-17T12:00:00,8244,accepted,-3,-48,0.7376900345645092,0.18660532529932772,0,8,0.8524506444425366,adjusted-crops/2025_0817_120000.jpg,
2025_0827_120000,2025-08-27T12:00:00,8244,accepted,44,708,0.696458246713816,0.13687950413273753,0,8,0.8292577637765215,adjusted-crops/2025_0827_120000.jpg,
2025_0906_000000,2025-09-06T00:00:00,8244,accepted,43,692,0.5080342198633692,0.046542194186829644,1,8,0.7045192486731451,adjusted-crops/2025_0906_000000.jpg,
2025_0918_120000,2025-09-18T12:00:00,8244,accepted,44,708,0.7316998376203813,0.1582594415501899,0,8,0.8490811586614644,adjusted-crops/2025_0918_120000.jpg,
2025_0929_180000,2025-09-29T18:00:00,8244,accepted,44,708,0.5541207259397797,0.12991076172389043,0,8,0.7491929083411262,adjusted-crops/2025_0929_180000.jpg,
2025_1009_120000,2025-10-09T12:00:00,8244,accepted,44,708,0.6451718255136651,0.11584947850926519,1,8,0.7816591518514366,adjusted-crops/2025_1009_120000.jpg,
2025_1019_120000,2025-10-19T12:00:00,8244,accepted,44,708,0.657753649119487,0.15017331899650743,1,8,0.7887364276297115,adjusted-crops/2025_1019_120000.jpg,
2025_1031_120000,2025-10-31T12:00:00,8244,accepted,43,692,0.66066295800809,0.08358737853899056,1,8,0.7903729138795508,adjusted-crops/2025_1031_120000.jpg,
2025_1111_120000,2025-11-11T12:00:00,8244,accepted,43,692,0.6703737633908075,0.06549006138677227,1,8,0.7958352419073291,adjusted-crops/2025_1111_120000.jpg,
2025_1122_120000,2025-11-22T12:00:00,8244,accepted,43,692,0.6418951387284965,0.10564955301556034,0,8,0.7985660155347793,adjusted-crops/2025_1122_120000.jpg,
2025_1206_120000,2025-12-06T12:00:00,8244,accepted,45,725,0.6435676025257141,0.10170347366853683,1,8,0.7807567764207142,adjusted-crops/2025_1206_120000.jpg,
2025_1216_120000,2025-12-16T12:00:00,8244,accepted,43,692,0.6399355872405178,0.12716985227422428,0,8,0.7974637678227912,adjusted-crops/2025_1216_120000.jpg,
